sitename,Dispersion,Disturbed_land,Wave_mean,DIN_mean,DIN_max,Complexity,Steepness,Human_population
Aasu ,17.55104884,0.346370538,282.36,0.01,0.01,2.3,3,0
Afono,12.28570702,0.323313375,199.49,0.08536364,0.166666667,2,3,185.0278954
Alega,11.24620278,0.523073531,1670.52,0.12808333,0.184333333,2.3,3,52.46383117
Alofau,15.94770995,0.57478881,63.39,0.19370833,0.212666667,2,4,594.9781508
Amalau,8.857577061,0.125673038,260.63,0.039,0.05,3.3,3,0
Amaluia,14.45268444,0.397173218,45.3,0.08216667,0.0702,3.4,2,150.7555904
Amanave,11.33516759,0.484956126,198.46,0.10188,0.148666667,2.6,3,288.727414
Amaua,16.52714946,0.41387015,703.46,0.048,0.077333333,2,3,175.670866
Amouli,12.24085675,0.406865775,454.135,0.08613043,0.101333333,2.5,3,686.5506086
Aoa,14.465671,0.24620523,262.59,0.16295833,0.245,3.1,3,388.7163486
Fagaalu,10.62190319,0.303526984,1663.775,0.10475,0.1815,1.5,3,367.2570976
Fagaitua,7.396684339,0.328409374,56.58,0.13138462,0.148,2.9,2,291.8954499
Fagamalo,11.93392637,0.144637695,147.92,0.03416667,0.0228,3.3,3,46.23335772
Fagasa2,16.93530765,0.427010114,230.625,0.10063636,0.132166667,2.8,4,237.9161274
Fagatele,10.73174196,0.757035314,38.6,0.02627273,0.0468,3,2,0
Laulii,15.70880581,0.25671843,1986.64,0.07041667,0.082333333,2.4,3,507.2422046
Leone2,9.487372262,0.549975428,63.14,0.18325,0.272833333,3.5,2,107.7408493
Maloata,9.476535062,0.102960866,370.11,0.0595,0.0854,2.9,3,2.855247066
Masausi,8.579751964,0.354431175,184.93,0.05104167,0.0885,2.9,3,204.3110567
Masefau,15.72464319,0.460898375,108.325,0.08125,0.089666667,1.9,2,117.4015403
Matuu,12.70539993,0.21208928,2071.4,0.05841667,0.05,2.3,3,333.4171664
Nua,14.47482313,0.193980478,48.28,0.05508333,0.075,2.8,3,208.6139887
Nuuuli,10.63713575,0.53654838,1971.25,0.089417,0.179,2.3,4,224.6873931
Oa,6.621669196,0,276.05,0.01,0.01,2.8,2,0
Poloa,8.903368463,0.362348693,431.73,0.12816667,0.1842,3,4,184.0848813
Sita ,9.906072561,0.014752566,382.93,0.01,0.01,2,3,0
Tafeu,14.23643736,0.002212691,200.67,0.01,0.01,3,3,0
Vatia,17.2422166,0.244262507,220.345,0.08972222,0.162333333,2.1,3,176.6470374
