rank,sitename,sector,geography,watershed,wavemean_cat,wqmean_cat,wqmax_cat,prop_disturbed_cat,complexity_cat,steepness_cat,distances_mean,dispersion,Coral,CCA,Turf,OtherInverts,Macroalgae,BCA,Sand,FCA,Rubble,BSR
1,Oa ,NE,North,Pristine,High,Med,Med,Med,High,Med,6.33907959,Low,59.97435897,14.71282051,13.7025641,1.543589744,0.774358974,0.641025641,0.384615385,8.01025641,0.256410256,3.349828962
2,Fagaitua ,SE,South,Extensive,Med,Low,High,High,High,Med,7.045229366,Low,41.41025641,30,5.384615385,1.282051282,1.923076923,4.230769231,0,15.64102564,0.128205128,3.296089385
3,Leone2 ,S,South,Extensive,Med,Low,Low,Low,Low,Med,8.08468312,Low,45.51282051,25.51282051,5.769230769,1.41025641,9.358974359,0.128205128,0,12.30769231,0,2.593457944
4,Masausi ,NE,North,Intermediate,High,High,High,High,High,High,8.19680948,Low,44.74358974,14.87179487,5.256410256,0.256410256,2.179487179,2.051282051,0,30.51282051,0,1.625
5,Amalau ,NE,North,Intermediate,High,Med,Med,Med,Low,High,8.469596694,Low,56.88717949,17.73333333,1.676923077,0.769230769,2.18974359,0.256410256,0,20.48717949,0,3.074542009
6,Poloa ,NW,North,Intermediate,High,Low,Low,High,High,Low,8.732352657,Low,42.69230769,35.25641026,5,0,0.128205128,0,0,16.92307692,0,3.534883721
7,Maloata ,NW,North,Pristine,High,High,High,Med,High,High,9.315164427,Low,58.07692308,20.51282051,1.153846154,0,0.128205128,1.538461538,0,18.58974359,0,4.032258065
8,Sita ,NW,North,Pristine,High,Med,Med,Med,Med,High,9.315719362,Med,29.72820513,27.61538462,14.94871795,0.512820513,4.261538462,3.974358974,0,18.95897436,0,1.606475883
9,Nuuuli ,S,South,Extensive,Low,High,Low,Low,High,Low,9.937823452,Med,7.820512821,36.15384615,2.820512821,5.128205128,20.64102564,0,0,27.43589744,0,0.863979849
10,Alega ,S,South,Intermediate,Low,Low,Low,Low,High,High,10.091102,Med,11.28205128,34.61538462,1.794871795,12.05128205,7.948717949,0.512820513,1.282051282,30.25641026,0,1.16025641
11,Fagatele ,S,South,Pristine,Med,Med,Med,Low,High,Med,10.25587913,Med,40.8974359,26.53846154,5,2.564102564,5.512820513,0.641025641,0,18.71794872,0.128205128,2.328947368
12,Fagaalu ,SE,South,Extensive,Low,Low,Low,High,Med,High,10.47991503,Med,9.615384615,32.56410256,2.692307692,1.794871795,0.256410256,0,0,53.07692308,0,0.752860412
13,Afono ,NE,North,Intermediate,High,High,High,High,Med,High,10.61228648,Med,17.53333333,7.082051282,6.984615385,0.384615385,28.28717949,14.31282051,1.794871795,23.62051282,0,0.661006618
14,Amanave ,S,South,Intermediate,High,High,High,Low,High,High,11.20175657,Med,56.66666667,25.64102564,1.41025641,6.538461538,0.128205128,0.256410256,0,9.358974359,0,7.576470588
15,Fagamalo ,NW,North,Pristine,High,Med,Med,Med,Low,High,11.70860242,Med,21.53846154,32.43589744,17.82051282,0,1.538461538,1.282051282,0.128205128,23.97435897,0,1.275147929
16,Amouli ,SE,South,Extensive,Low,High,High,High,High,High,11.79719579,Med,28.76410256,43.14358974,3.225641026,2.446153846,0.384615385,0.256410256,0.128205128,21.65128205,0,2.856678847
17,Matuu ,SE,South,Intermediate,Low,High,Med,High,High,High,12.40854722,Med,21.53846154,32.82051282,5,2.692307692,4.358974359,1.923076923,0.512820513,28.20512821,2.948717949,1.498293515
18,Amaluia ,S,South,Extensive,Med,High,High,High,Low,Med,12.62928602,Med,47.82051282,20.38461538,4.615384615,3.076923077,9.230769231,0,0.384615385,14.48717949,0,2.407239819
19,Nua ,S,South,Intermediate,Med,High,High,Med,High,High,12.91244702,Med,25.8974359,15.76923077,14.87179487,0.897435897,23.84615385,0.384615385,0.256410256,17.69230769,0.256410256,0.745454545
20,Tafeu ,NE,North,Pristine,High,Med,Med,Med,High,High,14.12832991,Med,38.46153846,10.38461538,22.05128205,15.25641026,1.025641026,0.897435897,0.256410256,11.66666667,0,1.431734317
21,Aoa ,NE,North,Extensive,High,Low,Low,High,Low,High,14.2467421,Med,48.97435897,8.58974359,10.12820513,0.512820513,1.794871795,12.82051282,0.512820513,16.53846154,0,2.472972973
22,Masefau ,NE,North,Intermediate,Med,High,High,Low,Med,Med,14.88186048,High,4.38974359,1.41025641,29.4974359,0.128205128,12.36923077,14.41025641,16.6974359,8.358974359,12.73846154,0.402389218
23,Amaua ,SE,South,Extensive,Low,High,High,High,Med,High,14.95861122,High,10.38461538,29.74358974,2.307692308,5.256410256,12.43589744,0,0,39.87179487,0,0.734741784
24,Alofau ,S,South,Extensive,Med,Low,Low,Low,Med,Low,15.23801433,High,12.66666667,14.24102564,13.26153846,0.133333333,6.58974359,2.702564103,0.38974359,50.01538462,0,0.423810922
25,Laulii ,SE,South,Extensive,Low,High,High,High,High,High,15.56457319,High,22.42051282,32.79487179,4.256410256,8.230769231,1.543589744,4.117948718,0.256410256,26.11794872,0.261538462,1.858933162
26,Fagasa2 ,NW,North,Intermediate,High,High,High,High,High,Low,16.04744279,High,21.53846154,20.8974359,25.51282051,0.641025641,8.076923077,6.923076923,0.256410256,16.15384615,0,0.992268041
27,Vatia ,NE,North,Intermediate,High,High,High,High,Med,High,16.10282076,High,13.58974359,6.538461538,29.61538462,0,12.43589744,11.92307692,12.56410256,8.333333333,5,0.636132316
28,Aasu ,NW,North,Intermediate,High,Med,Med,High,High,High,17.36166022,High,34.48717949,24.35897436,20.38461538,1.025641026,1.923076923,0.897435897,0.256410256,16.41025641,0.256410256,1.543046358
