sitename,sector,geography,reeftype,watershed,latitude,longitude,disturbed_by_totalarea,wave_mean,mean_din,sd_din,se_din,max_din,complexity,steepness,pop_watershed
Aasu,NW,North,North,Intermediate,-170.759657,-14.289572,0.346370538,282.36,NA,NA,NA,NA,2.300,3,0
Afono,NE,North,Sheltered,Intermediate,-170.652747,-14.256019,0.323313375,199.49,0.085,0.060,0.018,0.216,2.000,3,185.0278954
Alega,SW,South,South,Intermediate,-170.637769,-14.282175,0.523073531,1670.52,0.128,0.082,0.024,0.289,2.300,3,52.46383117
Alofau,SW,South,Sheltered,Extensive,-170.607639,-14.276775,0.57478881,63.39,0.194,0.154,0.032,0.788,2.000,4,594.9781508
Amalau,NE,North,North,Intermediate,-170.657893,-14.25124,0.125673038,260.63,0.039,0.033,0.010,0.098,3.300,3,0
Amaluia,SW,South,South,Extensive,-170.793001,-14.336857,0.397173218,45.3,0.082,0.065,0.019,0.261,3.400,2,150.7555904
Amanave,SW,South,South,Intermediate,-170.83302,-14.326555,0.484956126,198.46,0.102,0.097,0.019,0.431,2.600,3,288.727414
Amaua,SE,South,South,Extensive,-170.621867,-14.273633,0.41387015,703.46,0.048,0.033,0.009,0.127,2.000,3,175.670866
Amouli,SE,South,South,Extensive,-170.582883,-14.275625,0.406865775,454.135,0.086,0.142,0.030,0.710,2.500,3,686.5506086
Aoa,NE,North,Sheltered,Extensive,-170.588698,-14.258177,0.24620523,262.59,0.163,0.130,0.027,0.444,3.100,3,388.7163486
Fagaalu,SE,South,South,Extensive,-170.676486,-14.289099,0.303526984,1663.775,0.105,0.076,0.022,0.255,1.500,3,367.2570976
Fagaitua,SE,South,South,Extensive,-170.612441,-14.272138,0.328409374,56.58,0.131,0.132,0.026,0.591,2.900,2,291.8954499
Fagamalo,NW,North,North,Pristine,-170.811744,-14.297104,0.144637695,147.92,0.034,0.026,0.008,0.095,3.300,3,46.23335772
Fagasa2,NW,North,Sheltered,Intermediate,-170.722752,-14.283807,0.427010114,230.625,0.101,0.084,0.018,0.405,2.800,4,237.9161274
Fagatele,SW,South,South,Pristine,-170.762139,-14.364022,0.757035314,38.6,0.026,0.019,0.006,0.068,3.000,2,0
Laulii,SE,South,South,Extensive,-170.653333,-14.290007,0.25671843,1986.64,0.070,0.041,0.012,0.164,2.400,3,507.2422046
Leone2,SW,South,South,Extensive,-170.788726,-14.342562,0.549975428,63.14,0.183,0.114,0.033,0.413,3.500,2,107.7408493
Maloata,NW,North,North,Pristine,-170.816624,-14.30202,0.102960866,370.11,0.060,0.063,0.018,0.242,2.900,3,2.855247066
Masausi,NE,North,North,Intermediate,-170.606436,-14.256937,0.354431175,184.93,0.051,0.034,0.007,0.154,2.900,3,204.3110567
Masefau,NE,North,North,Intermediate,-170.62711,-14.255733,0.460898375,108.325,0.081,0.044,0.013,0.157,1.900,2,117.4015403
Matuu,SE,South,South,Intermediate,-170.682873,-14.300875,0.21208928,2071.4,0.058,0.043,0.012,0.175,2.300,3,333.4171664
Nua,SW,South,Sheltered,Intermediate,-170.808356,-14.328897,0.193980478,48.28,0.055,0.097,0.028,0.355,2.800,3,208.6139887
Nuuuli,SW,South,South,Extensive,-170.6975,-14.32145,0.53654838,1971.25,0.089,0.037,0.011,0.179,2.300,4,224.6873931
Oa,NE,North,North,Pristine,-170.641371,-14.251255,0,276.05,NA,NA,NA,NA,2.800,2,0
Poloa,NW,North,North,Intermediate,-170.835181,-14.312552,0.362348693,431.73,0.128,0.094,0.027,0.368,3.000,4,184.0848813
Sita,NW,North,North,Pristine,-170.740005,-14.289452,0.014752566,382.93,NA,NA,NA,NA,2.000,3,0
Tafeu,NE,North,North,Pristine,-170.688801,-14.252776,0.002212691,200.67,NA,NA,NA,NA,3.000,3,0
Vatia,NE,North,North,Intermediate,-170.671561,-14.249128,0.244262507,220.345,0.090,0.113,0.019,0.561,2.100,3,176.6470374
