month,order,village,site,nitrite,nitrate,ammonia,din
September,1,Afono,Pago,0.005,0.166,0.05,0.216
June,10,Afono,Pago,0.002,0.041,0.008,0.049
July ,11,Afono,Pago,0,0.047,-0.019,0.028
August ,12,Afono,Pago,0,0.047,0.036,0.083
September,13,Afono,Pago,0.002,0.047,-0.016,0.031
November,3,Afono,Pago,0.001,0.112,-0.003,0.109
December,4,Afono,Pago,0.003,0.192,-0.018,0.174
January ,5,Afono,Pago,0,0.059,-0.004,0.055
February,6,Afono,Pago,0.001,0.085,-0.002,0.083
April,8,Afono,Pago,0.001,0.044,0.004,0.048
May,9,Afono,Pago,0.002,0.047,0.016,0.063
September,1,Alega,Alega,0.003,0.169,0.077,0.246
June,10,Alega,Alega,0.001,0.072,-0.004,0.068
July ,11,Alega,Alega,0.001,0.071,-0.019,0.052
August ,12,Alega,Alega,0,0.093,0.023,0.116
September,13,Alega,Alega,0.001,0.069,-0.016,0.053
November,3,Alega,Alega,0.001,0.226,0.006,0.232
December,4,Alega,Alega,0,0.133,-0.04,0.093
January ,5,Alega,Alega,0,0.129,-0.011,0.118
February,6,Alega,Alega,0.001,0.273,0.016,0.289
March ,7,Alega,Alega,0.001,0.081,0.041,0.122
April,8,Alega,Alega,0.001,0.073,-0.021,0.052
May,9,Alega,Alega,0.002,0.091,0.005,0.096
September,1,Alofau,Fogalilima,0.003,0.169,0.038,0.207
September,1,Alofau,Nuu,0.025,0.19,0.13,0.32
September,1,Alofau,Fogalilima,0.006,0.117,0.128,0.245
June,10,Alofau,Nuu,0.022,0.089,0.064,0.153
June,10,Alofau,Fogalilima,0.003,0.036,0.07,0.106
July ,11,Alofau,Nuu,0.013,0.059,0.729,0.788
July ,11,Alofau,Fogalilima,0.002,0.043,0.068,0.111
August ,12,Alofau,Nuu,0.016,0.1,0.09,0.19
August ,12,Alofau,Fogalilima,0.002,0.05,0.102,0.152
September,13,Alofau,Nuu,0.003,0.035,0.432,0.467
September,13,Alofau,Fogalilima,0.003,0.048,0.068,0.116
November,3,Alofau,Fogalilima,0.003,0.129,0.072,0.201
November,3,Alofau,Nuu,0.014,0.097,0.1,0.197
December,4,Alofau,Fogalilima,0.002,0.048,0.033,0.081
January ,5,Alofau,Fogalilima,0.002,0.064,0.057,0.121
January ,5,Alofau,Nuu,0.017,0.12,0.087,0.207
February,6,Alofau,Nuu,0.007,0.121,0.051,0.172
February,6,Alofau,Fogalilima,0.003,0.063,0.063,0.126
March ,7,Alofau,Nuu,0.02,0.083,0.132,0.215
March ,7,Alofau,Fogalilima,0.002,0.026,0.124,0.15
April,8,Alofau,Nuu,0.01,0.078,0.026,0.104
April,8,Alofau,Fogalilima,0.002,0.035,0.022,0.057
May,9,Alofau,Nuu,0.004,0.05,0.032,0.082
May,9,Alofau,Fogalilima,0.004,0.048,0.033,0.081
September,1,Amalau,Tiaiu,0.002,0.045,0.053,0.098
June,10,Amalau,Tiaiu,0.002,0.031,-0.008,0.023
July ,11,Amalau,Tiaiu,0,0.04,-0.016,0.024
August ,12,Amalau,Tiaiu,0,0.036,0.018,0.054
September,13,Amalau,Tiaiu,0.001,0.032,-0.02,0.012
November,3,Amalau,Tiaiu,0,0.036,0.003,0.039
December,4,Amalau,Tiaiu,-0.001,0.031,-0.048,-0.017
January ,5,Amalau,Tiaiu,0,0.039,-0.006,0.033
February,6,Amalau,Tiaiu,0.001,0.08,0.005,0.085
April,8,Amalau,Tiaiu,0,0.029,-0.006,0.023
May,9,Amalau,Tiaiu,0.003,0.04,0.015,0.055
September,1,Amaluia,Vaipuna,0.004,0.073,0.063,0.136
June,10,Amaluia,Vaipuna,0.002,0.078,-0.004,0.074
July ,11,Amaluia,Vaipuna,0.001,0.051,-0.016,0.035
August ,12,Amaluia,Vaipuna,0,0.059,0.026,0.085
September,13,Amaluia,Vaipuna,0.001,0.04,-0.004,0.036
November,3,Amaluia,Vaipuna,0.001,0.053,0.027,0.08
December,4,Amaluia,Vaipuna,0.002,0.053,-0.027,0.026
January ,5,Amaluia,Vaipuna,0,0.069,-0.002,0.067
February,6,Amaluia,Vaipuna,0.002,0.244,0.017,0.261
March ,7,Amaluia,Vaipuna,0,0.024,0.023,0.047
April,8,Amaluia,Vaipuna,0.001,0.047,-0.008,0.039
May,9,Amaluia,Vaipuna,0.003,0.08,0.02,0.1
September,1,Amanave,Laloafu,0.004,0.006,0.134,0.14
September,1,Amanave,Puna,0.006,0.118,0.069,0.187
June,10,Amanave,Puna,0.004,0.089,-0.002,0.087
June,10,Amanave,Laloafu,0.002,0.029,-0.003,0.026
July ,11,Amanave,Puna,0.002,0.074,-0.013,0.061
July ,11,Amanave,Laloafu,0.001,0.033,-0.015,0.018
August ,12,Amanave,Puna,0.001,0.091,0.045,0.136
August ,12,Amanave,Laloafu,0,0.038,0.02,0.058
September,13,Amanave,Puna,0.017,0.207,0.065,0.272
September,13,Amanave,Laloafu,0,0.03,-0.023,0.007
November,3,Amanave,Laloafu,0.002,0.021,0.022,0.043
November,3,Amanave,Puna,0.003,0.142,0.019,0.161
November,3,Amanave,Puna,0.003,0.135,0.016,0.151
December,4,Amanave,Puna,0.006,0.165,0.01,0.175
December,4,Amanave,Laloafu,0.004,0.004,-0.019,-0.015
January ,5,Amanave,Laloafu,0,0.031,0.021,0.052
January ,5,Amanave,Puna,0.001,0.069,0.018,0.087
February,6,Amanave,Puna,0.004,0.428,0.003,0.431
February,6,Amanave,Laloafu,0.002,0.05,-0.001,0.049
March ,7,Amanave,Puna,0.002,0.037,0.047,0.084
March ,7,Amanave,Laloafu,0.001,0.012,0.035,0.047
April,8,Amanave,Puna,0.003,0.039,0.003,0.042
April,8,Amanave,Laloafu,0.002,0.022,0.009,0.031
May,9,Amanave,Puna,0.004,0.145,0.021,0.166
May,9,Amanave,Laloafu,0.004,0.043,0.008,0.051
September,1,Amaua,No name,0.003,0.077,0.05,0.127
September,1,Amaua,No name,0.003,0.029,0.067,0.096
June,10,Amaua,No name,0.002,0.026,0,0.026
July ,11,Amaua,No name,0.001,0.037,-0.004,0.033
August ,12,Amaua,No name,0,0.041,0.023,0.064
September,13,Amaua,No name,0.001,0.038,-0.017,0.021
November,3,Amaua,No name,0.001,0.088,-0.003,0.085
December,4,Amaua,No name,0.001,0.074,-0.029,0.045
January ,5,Amaua,No name,0,0.027,-0.002,0.025
January ,5,Amaua,No name,0,0.027,-0.002,0.025
February,6,Amaua,No name,0.002,0.035,-0.002,0.033
March ,7,Amaua,No name,0.001,0.01,0.028,0.038
April,8,Amaua,No name,0.002,0.021,-0.01,0.011
May,9,Amaua,No name,0.002,0.026,0.017,0.043
September,1,Amouli,Laloi,0.002,0.001,0.042,0.043
September,1,Amouli,Televai,0.003,0.001,0.109,0.11
June,10,Amouli,Televai,0.002,0.035,0.021,0.056
June,10,Amouli,Laloi,0.003,0.044,-0.005,0.039
July ,11,Amouli,Televai,0.003,0.047,0.034,0.081
July ,11,Amouli,Laloi,0.067,0.193,0.517,0.71
August ,12,Amouli,Televai,0.001,0.047,0.026,0.073
August ,12,Amouli,Laloi,0.001,0.044,0.035,0.079
September,13,Amouli,Televai,0.003,0.043,0.002,0.045
November,3,Amouli,Laloi,0.004,0.058,0,0.058
November,3,Amouli,Televai,0.001,0.03,-0.01,0.02
December,4,Amouli,Televai,0.002,0.037,0.173,0.21
