"","sitename","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"1","Aasu",2.30769230769231,0.641025641025641,0,0.897435897435897,1.02564102564103,0,0.769230769230769,0,0,0,0.128205128205128,0,0,0.128205128205128,0,0,0,0.256410256410256,0,0,0.256410256410256,0,0,0,0,0,0.128205128205128,17.3076923076923,0,0,1.41025641025641,0,1.53846153846154,0,0,0.641025641025641,7.05128205128205,0,0,0,0
"2","Afono",0.256410256410256,0,0,0,0,0,0.256410256410256,0,0,0,0.128205128205128,0,0,0.512820512820513,0,0.256410256410256,0,0,0,0.128205128205128,0.256410256410256,0,0,0,0,0,0,6.99487179487179,0,0,1.67179487179487,0,0.384615384615385,0,0,0.38974358974359,6.04102564102564,0,0,0,0
"3","Alega",0.384615384615385,0.897435897435897,0,0,0,0,0,0,0,0,0,0,0.641025641025641,0.384615384615385,0,0,0,0.512820512820513,0.256410256410256,0.128205128205128,0.384615384615385,0,0,0.769230769230769,0,0,0,2.69230769230769,0,0,0.256410256410256,0.512820512820513,0.512820512820513,0,0,1.53846153846154,1.41025641025641,0,0,0,0
"4","Alofau",0,0,0,0.128205128205128,0,0,0.133333333333333,0,0,1.06666666666667,0,0,0,0,0,0.128205128205128,0,0,0,0.128205128205128,0.128205128205128,0,0,0,0,0,0,1.94358974358974,0,0,1.02564102564103,0,0,0,0,0,7.98461538461538,0,0,0,0
"5","Amalau",2.84102564102564,5.06153846153846,0,1.6974358974359,0,0,0.128205128205128,0,0,0,0,0,1.03589743589744,0.384615384615385,0,0,0.256410256410256,0.128205128205128,0,0,1.03589743589744,0.512820512820513,0.128205128205128,0.128205128205128,0,0,1.42564102564103,23.1846153846154,0,0,11.2410256410256,0.769230769230769,0.256410256410256,0,0,0.769230769230769,5.9025641025641,0,0,0,0
"6","Amaluia",3.07692307692308,0.512820512820513,3.46153846153846,0.384615384615385,0,0.256410256410256,0,0,0,0,0.256410256410256,0.128205128205128,0,0.128205128205128,0,0.128205128205128,0.128205128205128,0.128205128205128,0,17.8205128205128,0.128205128205128,0.128205128205128,0,0,4.1025641025641,0,0.128205128205128,7.56410256410256,0,0,0.256410256410256,0,0.641025641025641,0,0,0.769230769230769,3.33333333333333,0.128205128205128,0,0,4.23076923076923
"7","Amanave",1.92307692307692,2.17948717948718,0,0.897435897435897,0,0,0.128205128205128,0,0,0,0.512820512820513,0,0.128205128205128,0,0,0.128205128205128,0.641025641025641,0.128205128205128,0,37.4358974358974,0.256410256410256,0,0,0,0.641025641025641,0,0,6.92307692307692,0,0,0,0,2.17948717948718,0.128205128205128,0,0.256410256410256,2.17948717948718,0,0,0,0
"8","Amaua",0,0,0,1.41025641025641,0,0,0,0,0,0.128205128205128,0,0,0.256410256410256,0.256410256410256,0,0.128205128205128,0.256410256410256,1.41025641025641,0,0,0.256410256410256,0,0,0,0,0,0.384615384615385,5.38461538461538,0,0,0.256410256410256,0,0,0,0,0.256410256410256,0,0,0,0,0
"9","Amouli",0.769230769230769,0.261538461538462,0.256410256410256,0.897435897435897,0,0,0,0,0,0.4,0.128205128205128,0,1.2974358974359,0.256410256410256,0.128205128205128,0.512820512820513,1.15384615384615,0,0,6.71282051282051,0.261538461538462,0,0,0,0,0.256410256410256,1.29230769230769,7.86153846153846,0,0,1.15897435897436,0,1.82051282051282,0.133333333333333,0,0.128205128205128,2.94871794871795,0,0.128205128205128,0,0
"10","Aoa",0.128205128205128,0,0,0,0.128205128205128,0,0.512820512820513,0,0,0,0,0.384615384615385,0.128205128205128,0.512820512820513,0,0,0.128205128205128,1.53846153846154,0.128205128205128,0,0.256410256410256,0,0.128205128205128,0,0,0,0,18.3333333333333,0,0,2.56410256410256,0,0.769230769230769,0,0,0.128205128205128,23.0769230769231,0.128205128205128,0,0,0
