"","sitename","sector","X","site_transect","transect_no","CORAL","OI","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI"
"1","Aasu","NW",2,"Aasu_2",2,46.1538461538462,2.30769230769231,1.53846153846154,2.30769230769231,10.7692307692308,0,7.69230769230769,0,29.2307692307692,0
"2","Aasu","NW",1,"Aasu_1",1,23.0769230769231,0.769230769230769,2.30769230769231,3.07692307692308,16.9230769230769,0.769230769230769,8.46153846153846,1.53846153846154,37.6923076923077,5.38461538461539
"3","Aasu","NW",5,"Aasu_5",5,34.6153846153846,0,2.30769230769231,0,35.3846153846154,0,19.2307692307692,0,10.7692307692308,0
"4","Aasu","NW",3,"Aasu_3",3,35.3846153846154,0,0,0,18.4615384615385,0,16.9230769230769,0,26.9230769230769,0
"5","Aasu","NW",4,"Aasu_4",4,28.4615384615385,1.53846153846154,0,0,33.0769230769231,0.769230769230769,21.5384615384615,0,14.6153846153846,0
"6","Aasu","NW",6,"Aasu_6",6,39.2307692307692,1.53846153846154,0,0,31.5384615384615,0,24.6153846153846,0,3.07692307692308,0
"7","Afono","NE",12,"Afono_6",6,11.5384615384615,0,2.30769230769231,21.5384615384615,11.5384615384615,0,22.3076923076923,0,3.84615384615385,26.9230769230769
"8","Afono","NE",8,"Afono_2",2,17.6923076923077,0,0.769230769230769,10,8.46153846153846,6.92307692307692,20.7692307692308,0,11.5384615384615,23.8461538461538
"9","Afono","NE",9,"Afono_3",3,26.1538461538462,1.53846153846154,0.769230769230769,10,5.38461538461539,3.84615384615385,28.4615384615385,0,8.46153846153846,15.3846153846154
"10","Afono","NE",11,"Afono_5",5,16.1538461538462,0,0,18.4615384615385,12.3076923076923,0,20,0,2.30769230769231,30.7692307692308
"11","Afono","NE",7,"Afono_1",1,18.4615384615385,0.769230769230769,0.769230769230769,13.0769230769231,0,0,25.3846153846154,0,6.15384615384615,35.3846153846154
"12","Afono","NE",10,"Afono_4",4,15.2,0,0,12.8,4.8,0,24.8,0,9.6,32.8
"13","Alega","SW",15,"Alega_3",3,8.46153846153846,13.8461538461538,6.92307692307692,0,38.4615384615385,0,26.1538461538462,0,1.53846153846154,4.61538461538461
"14","Alega","SW",16,"Alega_4",4,23.0769230769231,9.23076923076923,3.84615384615385,0.769230769230769,31.5384615384615,3.84615384615385,22.3076923076923,0,4.61538461538461,0
"15","Alega","SW",14,"Alega_2",2,7.69230769230769,13.0769230769231,12.3076923076923,0,33.0769230769231,0,32.3076923076923,0,1.53846153846154,0
"16","Alega","SW",18,"Alega_6",6,3.84615384615385,10.7692307692308,1.53846153846154,1.53846153846154,46.1538461538462,0,33.0769230769231,0,0,3.07692307692308
"17","Alega","SW",17,"Alega_5",5,10.7692307692308,10,4.61538461538461,0.769230769230769,26.9230769230769,3.84615384615385,33.8461538461538,0,2.30769230769231,6.15384615384615
"18","Alega","SW",13,"Alega_1",1,13.8461538461538,15.3846153846154,4.61538461538461,0,31.5384615384615,0,33.8461538461538,0,0.769230769230769,0
"19","Alofau","SW",24,"Alofau_6",6,20,0,3.07692307692308,6.15384615384615,6.92307692307692,0,45.3846153846154,0,12.3076923076923,6.15384615384615
"20","Alofau","SW",20,"Alofau_2",2,9.23076923076923,0,0,1.53846153846154,33.8461538461538,0,46.1538461538462,0,9.23076923076923,0
"21","Alofau","SW",21,"Alofau_3",3,16.9230769230769,0,5.38461538461539,3.84615384615385,6.15384615384615,0,45.3846153846154,0,20.7692307692308,1.53846153846154
"22","Alofau","SW",23,"Alofau_5",5,16,0.8,6.4,1.6,1.6,0.8,62.4,0,8.8,1.6
"23","Alofau","SW",19,"Alofau_1",1,8.46153846153846,0,2.30769230769231,2.30769230769231,27.6923076923077,0,46.1538461538462,0,12.3076923076923,0.769230769230769
"24","Alofau","SW",22,"Alofau_4",4,5.38461538461539,0,11.5384615384615,0.769230769230769,9.23076923076923,1.53846153846154,54.6153846153846,0,16.1538461538462,0.769230769230769
"25","Amalau","NE",30,"Amalau_6",6,61.5384615384615,0,0,0,13.8461538461538,0,21.5384615384615,0,0.769230769230769,2.30769230769231
"26","Amalau","NE",28,"Amalau_4",4,46.9230769230769,1.53846153846154,0,0.769230769230769,17.6923076923077,0,30,0,3.07692307692308,0
"27","Amalau","NE",25,"Amalau_1",1,52.3076923076923,3.07692307692308,0,0,18.4615384615385,0,20,0,3.84615384615385,2.30769230769231
"28","Amalau","NE",27,"Amalau_3",3,65.3846153846154,0,0,0,13.8461538461538,0,17.6923076923077,0,0.769230769230769,2.30769230769231
"29","Amalau","NE",29,"Amalau_5",5,54.4,0,0.8,0,26.4,0,16,0,1.6,0.8
"30","Amalau","NE",26,"Amalau_2",2,60.7692307692308,0,0,0.769230769230769,16.1538461538462,0,17.6923076923077,0,0,4.61538461538461
"31","Amaluia","SW",33,"Amaluia_3",3,46.1538461538462,2.30769230769231,19.2307692307692,0,21.5384615384615,0,6.92307692307692,0,2.30769230769231,1.53846153846154
"32","Amaluia","SW",36,"Amaluia_6",6,61.5384615384615,2.30769230769231,2.30769230769231,0,13.0769230769231,0,16.1538461538462,0,4.61538461538461,0
"33","Amaluia","SW",34,"Amaluia_4",4,48.4615384615385,1.53846153846154,6.15384615384615,0,22.3076923076923,0,16.9230769230769,0,4.61538461538461,0
"34","Amaluia","SW",31,"Amaluia_1",1,53.0769230769231,8.46153846153846,0,0,23.0769230769231,0,13.0769230769231,0,2.30769230769231,0
"35","Amaluia","SW",32,"Amaluia_2",2,37.6923076923077,0.769230769230769,18.4615384615385,0,23.0769230769231,2.30769230769231,10.7692307692308,0,5.38461538461539,1.53846153846154
"36","Amaluia","SW",35,"Amaluia_5",5,40,3.07692307692308,5.38461538461539,0,19.2307692307692,0,23.0769230769231,0,8.46153846153846,0.769230769230769
"37","Amanave","SW",42,"Amanave_6",6,53.8461538461538,5.38461538461539,0,0,33.8461538461538,0,6.15384615384615,0,0.769230769230769,0
"38","Amanave","SW",38,"Amanave_2",2,53.8461538461538,13.0769230769231,0.769230769230769,0,21.5384615384615,0,10,0,0.769230769230769,0
"39","Amanave","SW",39,"Amanave_3",3,55.3846153846154,3.84615384615385,0,0,29.2307692307692,0,7.69230769230769,0,3.84615384615385,0
"40","Amanave","SW",40,"Amanave_4",4,66.1538461538462,4.61538461538461,0,0,21.5384615384615,0,6.92307692307692,0,0.769230769230769,0
"41","Amanave","SW",41,"Amanave_5",5,68.4615384615385,4.61538461538461,0,0,23.8461538461538,0,2.30769230769231,0,0.769230769230769,0
"42","Amanave","SW",37,"Amanave_1",1,42.3076923076923,7.69230769230769,0,1.53846153846154,23.8461538461538,0,23.0769230769231,0,1.53846153846154,0
"43","Amaua","SE",47,"Amaua_5",5,1.53846153846154,13.0769230769231,12.3076923076923,0,29.2307692307692,0,43.8461538461538,0,0,0
"44","Amaua","SE",43,"Amaua_1",1,35.3846153846154,0.769230769230769,3.84615384615385,0,23.0769230769231,0,31.5384615384615,0,5.38461538461539,0
"45","Amaua","SE",46,"Amaua_4",4,6.15384615384615,6.92307692307692,10.7692307692308,0,27.6923076923077,0,48.4615384615385,0,0,0
"46","Amaua","SE",48,"Amaua_6",6,5.38461538461539,10,5.38461538461539,0,37.6923076923077,0,36.9230769230769,0,3.84615384615385,0.769230769230769
"47","Amaua","SE",44,"Amaua_2",2,4.61538461538461,0.769230769230769,27.6923076923077,0,23.8461538461538,0,41.5384615384615,0,1.53846153846154,0
"48","Amaua","SE",45,"Amaua_3",3,9.23076923076923,0,13.8461538461538,0,36.9230769230769,0,36.9230769230769,0,3.07692307692308,0
"49","Amouli","SE",52,"Amouli_4",4,44.6153846153846,1.53846153846154,0,0,37.6923076923077,0.769230769230769,9.23076923076923,0,6.15384615384615,0
