"","rank","sitename","distances_mean","distances_sd","dispersion","Coral","CCA","Turf","OtherInverts","Macroalgae","BCA","Sand","FCA","Rubble","BSR"
"1",1,"Oa ",6.33907959037335,0,"Low",59.974358974359,14.7128205128205,13.7025641025641,1.54358974358974,0.774358974358974,0.641025641025641,0.384615384615385,8.01025641025641,0.256410256410256,3.34982896237172
"2",2,"Fagaitua ",7.04522936642933,0,"Low",41.4102564102564,30,5.38461538461539,1.28205128205128,1.92307692307692,4.23076923076923,0,15.6410256410256,0.128205128205128,3.29608938547486
"3",3,"Leone2 ",8.08468312043187,0,"Low",45.5128205128205,25.5128205128205,5.76923076923077,1.41025641025641,9.35897435897436,0.128205128205128,0,12.3076923076923,0,2.59345794392523
"4",4,"Masausi ",8.19680947992316,0,"Low",44.7435897435897,14.8717948717949,5.25641025641026,0.256410256410256,2.17948717948718,2.05128205128205,0,30.5128205128205,0,1.625
"5",5,"Amalau ",8.46959669410877,0,"Low",56.8871794871795,17.7333333333333,1.67692307692308,0.769230769230769,2.18974358974359,0.256410256410256,0,20.4871794871795,0,3.07454200884397
"6",6,"Poloa ",8.73235265669626,0,"Low",42.6923076923077,35.2564102564103,5,0,0.128205128205128,0,0,16.9230769230769,0,3.53488372093023
"7",7,"Maloata ",9.31516442718321,0,"Low",58.0769230769231,20.5128205128205,1.15384615384615,0,0.128205128205128,1.53846153846154,0,18.5897435897436,0,4.03225806451613
"8",8,"Sita ",9.31571936150957,0,"Med",29.7282051282051,27.6153846153846,14.948717948718,0.512820512820513,4.26153846153846,3.97435897435898,0,18.9589743589744,0,1.60647588338036
"9",9,"Nuuuli ",9.93782345222765,0,"Med",7.82051282051282,36.1538461538461,2.82051282051282,5.12820512820513,20.6410256410256,0,0,27.4358974358974,0,0.863979848866498
"10",10,"Alega ",10.0911020037473,0,"Med",11.2820512820513,34.6153846153846,1.7948717948718,12.051282051282,7.94871794871795,0.512820512820513,1.28205128205128,30.2564102564103,0,1.16025641025641
"11",11,"Fagatele ",10.2558791253092,0,"Med",40.8974358974359,26.5384615384615,5,2.56410256410256,5.51282051282051,0.641025641025641,0,18.7179487179487,0.128205128205128,2.32894736842105
"12",12,"Fagaalu ",10.4799150323234,0,"Med",9.61538461538461,32.5641025641026,2.69230769230769,1.7948717948718,0.256410256410256,0,0,53.0769230769231,0,0.752860411899313
"13",13,"Afono ",10.6122864770496,0,"Med",17.5333333333333,7.08205128205128,6.98461538461538,0.384615384615385,28.2871794871795,14.3128205128205,1.7948717948718,23.6205128205128,0,0.66100661790317
"14",14,"Amanave ",11.2017565746372,0,"Med",56.6666666666667,25.6410256410256,1.41025641025641,6.53846153846154,0.128205128205128,0.256410256410256,0,9.35897435897436,0,7.57647058823529
"15",15,"Fagamalo ",11.7086024169415,0,"Med",21.5384615384615,32.4358974358974,17.8205128205128,0,1.53846153846154,1.28205128205128,0.128205128205128,23.974358974359,0,1.27514792899408
"16",16,"Amouli ",11.7971957890645,0,"Med",28.7641025641026,43.1435897435898,3.22564102564103,2.44615384615385,0.384615384615385,0.256410256410256,0.128205128205128,21.6512820512821,0,2.85667884693463
"17",17,"Matuu ",12.4085472214616,0,"Med",21.5384615384615,32.8205128205128,5,2.69230769230769,4.35897435897436,1.92307692307692,0.512820512820513,28.2051282051282,2.94871794871795,1.49829351535836
"18",18,"Amaluia ",12.6292860196227,0,"Med",47.8205128205128,20.3846153846154,4.61538461538461,3.07692307692308,9.23076923076923,0,0.384615384615385,14.4871794871795,0,2.40723981900453
"19",19,"Nua ",12.9124470151693,0,"Med",25.8974358974359,15.7692307692308,14.8717948717949,0.897435897435898,23.8461538461538,0.384615384615385,0.256410256410256,17.6923076923077,0.256410256410256,0.745454545454546
"20",20,"Tafeu ",14.1283299143033,0,"Med",38.4615384615385,10.3846153846154,22.051282051282,15.2564102564103,1.02564102564103,0.897435897435898,0.256410256410256,11.6666666666667,0,1.43173431734317
"21",21,"Aoa ",14.2467420953708,0,"Med",48.974358974359,8.58974358974359,10.1282051282051,0.512820512820513,1.7948717948718,12.8205128205128,0.512820512820513,16.5384615384615,0,2.47297297297297
"22",22,"Masefau ",14.8818604800558,0,"High",4.38974358974359,1.41025641025641,29.4974358974359,0.128205128205128,12.3692307692308,14.4102564102564,16.6974358974359,8.35897435897436,12.7384615384615,0.402389217888503
"23",23,"Amaua ",14.9586112210431,0,"High",10.3846153846154,29.7435897435897,2.30769230769231,5.25641025641026,12.4358974358974,0,0,39.8717948717949,0,0.734741784037559
"24",24,"Alofau ",15.238014332499,0,"High",12.6666666666667,14.2410256410256,13.2615384615385,0.133333333333333,6.58974358974359,2.7025641025641,0.38974358974359,50.0153846153846,0,0.423810921902525
"25",25,"Laulii ",15.5645731905774,0,"High",22.4205128205128,32.7948717948718,4.25641025641026,8.23076923076923,1.54358974358974,4.11794871794872,0.256410256410256,26.1179487179487,0.261538461538462,1.85893316195373
"26",26,"Fagasa2 ",16.0474427898957,0,"High",21.5384615384615,20.8974358974359,25.5128205128205,0.641025641025641,8.07692307692308,6.92307692307692,0.256410256410256,16.1538461538462,0,0.992268041237114
"27",27,"Vatia ",16.1028207596755,0,"High",13.5897435897436,6.53846153846154,29.6153846153846,0,12.4358974358974,11.9230769230769,12.5641025641026,8.33333333333333,5,0.636132315521628
"28",28,"Aasu ",17.3616602246852,0,"High",34.4871794871795,24.3589743589744,20.3846153846154,1.02564102564103,1.92307692307692,0.897435897435898,0.256410256410256,16.4102564102564,0.256410256410256,1.54304635761589
