"","sitename","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN","ANEM","Rock","SC","S","Z","ASP","BG","CHLDES","DYCTY","DICT","GLXU","HALI","NEOM","NOIDMAC","BCA1","CCA1","Sand","FCA1","Rubble","Tur"
"1","Aasu",34.4871794871795,1.02564102564103,1.92307692307692,1.02564102564103,0.897435897435897,24.3589743589744,0.256410256410256,16.4102564102564,0.256410256410256,20.3846153846154,2.30769230769231,0.641025641025641,0,0.897435897435897,1.02564102564103,0,0.769230769230769,0,0,0,0.128205128205128,0,0,0.128205128205128,0,0,0,0.256410256410256,0,0,0.256410256410256,0,0,0,0,0,0.128205128205128,17.3076923076923,0,0,1.41025641025641,0,1.53846153846154,0,0,0.641025641025641,7.05128205128205,0,0,0,0,0,0,0,1.02564102564103,0,0,0.512820512820513,0,0,0,0.512820512820513,0.897435897435897,0,0,0.897435897435897,24.3589743589744,0.256410256410256,16.4102564102564,0.256410256410256,20.3846153846154
"2","Afono",17.5333333333333,0.384615384615385,28.2871794871795,0.769230769230769,14.3128205128205,7.08205128205128,1.79487179487179,23.6205128205128,0,6.98461538461538,0.256410256410256,0,0,0,0,0,0.256410256410256,0,0,0,0.128205128205128,0,0,0.512820512820513,0,0.256410256410256,0,0,0,0.128205128205128,0.256410256410256,0,0,0,0,0,0,6.99487179487179,0,0,1.67179487179487,0,0.384615384615385,0,0,0.38974358974359,6.04102564102564,0,0,0,0,0,0,0,0.384615384615385,0,0,0.769230769230769,0,0,0,0,27.5179487179487,0,0,14.3128205128205,7.08205128205128,1.79487179487179,23.6205128205128,0,6.98461538461538
"3","Alega",11.2820512820513,12.0512820512821,7.94871794871795,5.64102564102564,0.512820512820513,34.6153846153846,1.28205128205128,30.2564102564103,0,1.79487179487179,0.384615384615385,0.897435897435897,0,0,0,0,0,0,0,0,0,0,0.641025641025641,0.384615384615385,0,0,0,0.512820512820513,0.256410256410256,0.128205128205128,0.384615384615385,0,0,0.769230769230769,0,0,0,2.69230769230769,0,0,0.256410256410256,0.512820512820513,0.512820512820513,0,0,1.53846153846154,1.41025641025641,0,0,0,0,0,0.897435897435897,6.28205128205128,4.87179487179487,0,0,0,4.23076923076923,0,0,1.41025641025641,2.30769230769231,0,0,0.512820512820513,34.6153846153846,1.28205128205128,30.2564102564103,0,1.79487179487179
"4","Alofau",12.6666666666667,0.133333333333333,6.58974358974359,4.78461538461538,2.7025641025641,14.2410256410256,0.38974358974359,50.0153846153846,0,13.2615384615385,0,0,0,0.128205128205128,0,0,0.133333333333333,0,0,1.06666666666667,0,0,0,0,0,0.128205128205128,0,0,0,0.128205128205128,0.128205128205128,0,0,0,0,0,0,1.94358974358974,0,0,1.02564102564103,0,0,0,0,0,7.98461538461538,0,0,0,0,0,0,0.133333333333333,0,0,0,0,3.0974358974359,0,0.384615384615385,1.17435897435897,1.80512820512821,0,0.128205128205128,2.7025641025641,14.2410256410256,0.38974358974359,50.0153846153846,0,13.2615384615385
"5","Amalau",56.8871794871795,0.769230769230769,2.18974358974359,0.133333333333333,0.256410256410256,17.7333333333333,0,20.4871794871795,0,1.67692307692308,2.84102564102564,5.06153846153846,0,1.6974358974359,0,0,0.128205128205128,0,0,0,0,0,1.03589743589744,0.384615384615385,0,0,0.256410256410256,0.128205128205128,0,0,1.03589743589744,0.512820512820513,0.128205128205128,0.128205128205128,0,0,1.42564102564103,23.1846153846154,0,0,11.2410256410256,0.769230769230769,0.256410256410256,0,0,0.769230769230769,5.9025641025641,0,0,0,0,0,0,0.769230769230769,0,0,0,0.133333333333333,0,0,0,0,2.05641025641026,0,0,0.256410256410256,17.7333333333333,0,20.4871794871795,0,1.67692307692308
"6","Amaluia",47.8205128205128,3.07692307692308,9.23076923076923,8.58974358974359,0,20.3846153846154,0.384615384615385,14.4871794871795,0,4.61538461538461,3.07692307692308,0.512820512820513,3.46153846153846,0.384615384615385,0,0.256410256410256,0,0,0,0,0.256410256410256,0.128205128205128,0,0.128205128205128,0,0.128205128205128,0.128205128205128,0.128205128205128,0,17.8205128205128,0.128205128205128,0.128205128205128,0,0,4.1025641025641,0,0.128205128205128,7.56410256410256,0,0,0.256410256410256,0,0.641025641025641,0,0,0.769230769230769,3.33333333333333,0.128205128205128,0,0,4.23076923076923,0,0,0.256410256410256,2.82051282051282,0,0,0,1.28205128205128,0,0,7.30769230769231,0.641025641025641,0,0,0,20.3846153846154,0.384615384615385,14.4871794871795,0,4.61538461538461
"7","Amanave",56.6666666666667,6.53846153846154,0.128205128205128,0.128205128205128,0.256410256410256,25.6410256410256,0,9.35897435897436,0,1.41025641025641,1.92307692307692,2.17948717948718,0,0.897435897435897,0,0,0.128205128205128,0,0,0,0.512820512820513,0,0.128205128205128,0,0,0.128205128205128,0.641025641025641,0.128205128205128,0,37.4358974358974,0.256410256410256,0,0,0,0.641025641025641,0,0,6.92307692307692,0,0,0,0,2.17948717948718,0.128205128205128,0,0.256410256410256,2.17948717948718,0,0,0,0,0,0,1.79487179487179,4.74358974358974,0,0,0,0.128205128205128,0,0,0,0,0,0,0.256410256410256,25.6410256410256,0,9.35897435897436,0,1.41025641025641
"8","Amaua",10.3846153846154,5.25641025641026,12.4358974358974,12.3076923076923,0,29.7435897435897,0,39.8717948717949,0,2.30769230769231,0,0,0,1.41025641025641,0,0,0,0,0,0.128205128205128,0,0,0.256410256410256,0.256410256410256,0,0.128205128205128,0.256410256410256,1.41025641025641,0,0,0.256410256410256,0,0,0,0,0,0.384615384615385,5.38461538461538,0,0,0.256410256410256,0,0,0,0,0.256410256410256,0,0,0,0,0,0,0.128205128205128,5,0,0.128205128205128,0,0,11.4102564102564,0,0,0.897435897435897,0.128205128205128,0,0,0,29.7435897435897,0,39.8717948717949,0,2.30769230769231
"9","Amouli",28.7641025641026,2.44615384615385,0.384615384615385,0.384615384615385,0.256410256410256,43.1435897435897,0.128205128205128,21.6512820512821,0,3.22564102564103,0.769230769230769,0.261538461538462,0.256410256410256,0.897435897435897,0,0,0,0,0,0.4,0.128205128205128,0,1.2974358974359,0.256410256410256,0.128205128205128,0.512820512820513,1.15384615384615,0,0,6.71282051282051,0.261538461538462,0,0,0,0,0.256410256410256,1.29230769230769,7.86153846153846,0,0,1.15897435897436,0,1.82051282051282,0.133333333333333,0,0.128205128205128,2.94871794871795,0,0.128205128205128,0,0,0,0,2.06153846153846,0,0.384615384615385,0,0,0.384615384615385,0,0,0,0,0,0,0.256410256410256,43.1435897435897,0.128205128205128,21.6512820512821,0,3.22564102564103
"10","Aoa",48.974358974359,0.512820512820513,1.79487179487179,1.28205128205128,12.8205128205128,8.58974358974359,0.512820512820513,16.5384615384615,0,10.1282051282051,0.128205128205128,0,0,0,0.128205128205128,0,0.512820512820513,0,0,0,0,0.384615384615385,0.128205128205128,0.512820512820513,0,0,0.128205128205128,1.53846153846154,0.128205128205128,0,0.256410256410256,0,0.128205128205128,0,0,0,0,18.3333333333333,0,0,2.56410256410256,0,0.769230769230769,0,0,0.128205128205128,23.0769230769231,0.128205128205128,0,0,0,0,0,0.256410256410256,0,0.256410256410256,0,0.256410256410256,0,0,1.02564102564103,0,0.512820512820513,0,0,12.8205128205128,8.58974358974359,0.512820512820513,16.5384615384615,0,10.1282051282051
