"","sitename","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN","ANEM","Rock","SC","S","Z","ASP","BG","CHLDES","DYCTY","DICT","GLXU","HALI","NEOM","NOIDMAC","BCA1","CCA1","Sand","FCA1","Rubble","Tur"
"1","Aasu",8.07386999683784,0.93158472433769,2.98913218888084,1.15811177339859,1.41142143020748,10.2358768819484,0.397229061149479,6.94299130095438,0.628074293021328,13.0065982344784,2.17571317288168,1.23237075289209,0,1.41142143020748,1.3470692858014,0,1.19168718344844,0,0,0,0.314037146510664,0,0,0.314037146510664,0,0,0,0.628074293021328,0,0,0.397229061149479,0,0,0,0,0,0.314037146510664,7.01224626158666,0,0,0.756301600192442,0,1.53846153846154,0,0,1.02243087371163,10.9697450161761,0,0,0,0,0,0,0,0.628074293021328,0,0,0.93158472433769,0,0,0,0.794458122298957,2.19826002557465,0,0,1.23237075289209,11.6524286181967,0.397229061149479,5.38827714320562,0.628074293021328,11.6329464791592
"2","Afono",4.86797691151523,0.643584635795443,7.07107896936012,0.842650088469486,4.69975869119086,4.6328047319543,2.94592956232719,3.19061740854834,0,3.52626661116509,0.628074293021328,0,0,0,0,0,0.397229061149479,0,0,0,0.314037146510664,0,0,0.93158472433769,0,0.397229061149479,0,0,0,0.314037146510664,0.397229061149479,0,0,0,0,0,0,3.3681651517038,0,0,1.12745896071067,0,0.643584635795443,0,0,0.64737369592039,3.22132931018467,0,0,0,0,0,0,0,0.643584635795443,0,0,0.842650088469486,0,0,0,0,7.2306164741093,0,0,4.69975869119086,4.6328047319543,2.94592956232719,3.19061740854834,0,3.52626661116509
"3","Alega",6.66469398821938,2.41625004910559,3.97229061149479,3.6944438265288,0.628074293021328,6.75873311891963,1.98614530574739,4.85692738155962,0,1.58891624459791,0.643584635795443,2.19826002557465,0,0,0,0,0,0,0,0,0,0,0.899265534192317,0.643584635795443,0,0,0,0.93158472433769,0.628074293021328,0.314037146510664,0.643584635795443,0,0,1.53846153846154,0,0,0,2.10662522117372,0,0,0.397229061149479,0.93158472433769,0.93158472433769,0,0,2.70874105563985,1.97119293269565,0,0,0,0,0,2.19826002557465,3.20564098462195,2.46474150578419,0,0,0,4.6853668716434,0,0,1.78200516450195,2.70874105563985,0,0,0.628074293021328,6.75873311891963,1.98614530574739,4.85692738155962,0,1.58891624459791
"4","Alofau",5.75365418574595,0.32659863237109,4.41666201480906,4.0131735733927,1.98411840328754,13.1844687781694,0.64737369592039,7.03206518943065,0,4.53217295742079,0,0,0,0.314037146510664,0,0,0.32659863237109,0,0,2.61278905896872,0,0,0,0,0,0.314037146510664,0,0,0,0.314037146510664,0.314037146510664,0,0,0,0,0,0,1.08792910779597,0,0,1.51260320038488,0,0,0,0,0,7.48593948284572,0,0,0,0,0,0,0.32659863237109,0,0,0,0,2.79520581396188,0,0.942111439531992,1.83074768356206,2.21039323748056,0,0.314037146510664,1.98411840328754,13.1844687781694,0.64737369592039,7.03206518943065,0,4.53217295742079
"5","Amalau",6.86079103667465,1.28716927159089,1.48783363155542,0.32659863237109,0.397229061149479,4.65528055877064,0,5.05160743452852,0,1.49206976691746,1.43750825398539,4.87685027851515,0,2.02707511715082,0,0,0.314037146510664,0,0,0,0,0,0.638538765795831,0.942111439531992,0,0,0.628074293021328,0.314037146510664,0,0,0.938671687273645,0.93158472433769,0.314037146510664,0.314037146510664,0,0,0.778812123346446,4.63416691095389,0,0,4.08902895452295,0.97300851082104,0.628074293021328,0,0,0.842650088469486,8.00000986192686,0,0,0,0,0,0,1.28716927159089,0,0,0,0.32659863237109,0,0,0,0,1.58399290736164,0,0,0.397229061149479,4.65528055877064,0,5.05160743452852,0,1.49206976691746
"6","Amaluia",8.74918987514847,2.75208366461513,8.95749330954439,8.24788539034271,0,3.85383847688472,0.942111439531992,5.57714411586718,0,2.28190722679867,3.70510602424378,1.25614858604266,5.75125404385192,0.643584635795443,0,0.628074293021328,0,0,0,0,0.628074293021328,0.314037146510664,0,0.314037146510664,0,0.314037146510664,0.314037146510664,0.314037146510664,0,7.19001060259881,0.314037146510664,0.314037146510664,0,0,2.86445949615773,0,0.314037146510664,3.58882772199307,0,0,0.397229061149479,0,0.756301600192442,0,0,1.19168718344844,2.26455406828919,0.314037146510664,0,0,2.37092846268038,0,0,0.628074293021328,2.82284286041495,0,0,0,1.05096930932919,0,0,8.25266677357929,0.756301600192442,0,0,0,3.85383847688472,0.942111439531992,5.57714411586718,0,2.28190722679867
"7","Amanave",9.51693186433809,3.4658093310981,0.314037146510664,0.314037146510664,0.628074293021328,4.90541704351513,0,7.17353232898205,0,1.23237075289209,2.2161323524443,3.09290720046534,0,1.57018573255332,0,0,0.314037146510664,0,0,0,0.628074293021328,0,0.314037146510664,0,0,0.314037146510664,1.57018573255332,0.314037146510664,0,4.45002936408546,0.628074293021328,0,0,0,1.23237075289209,0,0,1.08785658644084,0,0,0,0,1.97119293269565,0.314037146510664,0,0.628074293021328,1.78200516450195,0,0,0,0,0,0,2.55896922048711,1.49291555159073,0,0,0,0.314037146510664,0,0,0,0,0,0,0.628074293021328,4.90541704351513,0,7.17353232898205,0,1.23237075289209
"8","Amaua",12.4961532542557,5.55588427692832,8.3760247687684,8.49643155168251,0,6.29955698013413,0,5.98650685289867,0,2.17571317288168,0,0,0,3.4544086116173,0,0,0,0,0,0.314037146510664,0,0,0.397229061149479,0.628074293021328,0,0.314037146510664,0.628074293021328,2.30341483912571,0,0,0.397229061149479,0,0,0,0,0,0.421325044234743,8.37013569768335,0,0,0.397229061149479,0,0,0,0,0.628074293021328,0,0,0,0,0,0,0.314037146510664,5.47722557505166,0,0.314037146510664,0,0,8.40423486749905,0,0,1.02243087371164,0.314037146510664,0,0,0,6.29955698013413,0,5.98650685289867,0,2.17571317288168
"9","Amouli",10.9531618916212,0.741978803186923,0.643584635795443,0.643584635795443,0.397229061149479,5.39104378179209,0.314037146510664,8.63517872641215,0,1.4916466947414,0.97300851082104,0.405290457609831,0.628074293021328,2.19826002557465,0,0,0,0,0,0.979795897113271,0.314037146510664,0,1.1749522630783,0.628074293021328,0.314037146510664,0.628074293021328,2.10662522117372,0,0,5.50074049166178,0.405290457609831,0,0,0,0,0.397229061149479,1.05426718147765,2.82700418512635,0,0,1.51760217804558,0,1.39455124521919,0.32659863237109,0,0.314037146510664,2.03034183536709,0,0.314037146510664,0,0,0,0,0.925125930976794,0,0.942111439531992,0,0,0.643584635795443,0,0,0,0,0,0,0.397229061149479,5.39104378179209,0.314037146510664,8.63517872641215,0,1.4916466947414
"10","Aoa",9.55416408075826,0.794458122298957,1.73148133498812,1.86316944867538,7.89976655585979,4.41666201480906,0.628074293021328,4.34462192198244,0,9.29995440170366,0.314037146510664,0,0,0,0.314037146510664,0,0.93158472433769,0,0,0,0,0.942111439531992,0.314037146510664,1.25614858604266,0,0,0.314037146510664,2.4325212770526,0.314037146510664,0,0.397229061149479,0,0.314037146510664,0,0,0,0,9.50137538055875,0,0,2.78060342804635,0,0.97300851082104,0,0,0.314037146510664,7.37820234355803,0.314037146510664,0,0,0,0,0,0.628074293021328,0,0.628074293021328,0,0.397229061149479,0,0,1.86316944867538,0,0.628074293021328,0,0,7.89976655585979,4.41666201480906,0.628074293021328,4.34462192198244,0,9.29995440170366
"11","Fagaalu",4.78533261999871,3.69444382652879,0.628074293021328,0,0,6.41128196924389,0,8.32761144783037,0,1.43909899491305,0.314037146510664,1.25614858604266,0,0,0,0,0,0,0,0,0,0,0,0,0.628074293021328,0.314037146510664,0,0,0,0,0,0,0,0,0,0.314037146510664,0.314037146510664,2.10193861865838,0,0,3.17783248919583,0.628074293021328,0.314037146510664,0,0,0,1.02243087371163,0,0,0,0,0,0,3.71839077831743,0.314037146510664,0,0,0,0,0,0,0,0.628074293021328,0,0,0,6.41128196924389,0,8.32761144783037,0,1.43909899491305
"12","Fagaitua",2.03034183536709,1.15811177339859,1.26397513270423,0.97300851082104,2.04967886068834,6.21127053482657,0,4.9534320578639,0.314037146510664,2.22944257633684,2.85411222755782,1.99110447777612,0.97300851082104,5.83298111080888,0,0,0.628074293021328,0,0,0,0.314037146510664,0,0,0,0.397229061149479,0.397229061149479,0.942111439531992,1.88422287906398,1.53846153846154,0.628074293021328,0,0,0,2.41625004910559,0,0,0.688020916153781,3.75008218187398,0,0,1.78200516450195,0.93158472433769,0.97300851082104,0,0,0,1.8472219132644,0.314037146510664,0,0,0,0,0,0.942111439531992,0.314037146510664,0,0,0.628074293021328,0.628074293021328,0,0,0,0.806776037053963,0,0,2.04967886068834,6.21127053482657,0,4.9534320578639,0.314037146510664,2.22944257633684
"13","Fagamalo",8.62087736992117,0,1.37604183230756,0.314037146510664,1.73148133498812,8.23352458074282,0.314037146510664,4.57460617936151,0,3.05440478001161,0,1.23237075289209,0,1.71430919491762,0,0,0,0,0,0,0,0.314037146510664,0,0,0,0,0,0,0,0,0.643584635795443,0,0,0,0,0,0.643584635795443,0.397229061149479,0,0,0.93158472433769,0.314037146510664,1.57018573255332,0,0,2.59342211456211,12.4002926732655,0,0,0,0,0,0,0,0,0,0,0.314037146510664,0,0,0,0,1.41142143020748,0,0,1.73148133498812,8.23352458074282,0.314037146510664,4.57460617936151,0,3.05440478001161
"14","Fagasa2",8.09704453350201,1.23237075289209,1.73716766009788,4.08972349484654,7.5682300776916,14.1873905733948,0.628074293021328,5.00886787572299,0,5.33863149068129,0,0,0,0,0,0,0.314037146510664,0,0,0,0,0,0.899265534192317,0,0.314037146510664,0,0,0,0,0,0,0,0.314037146510664,0,0.314037146510664,0,0,1.86316944867538,0,0,2.25145142754002,0.628074293021328,0.756301600192442,0,3.78150800096221,2.97590587537521,6.95576329370312,0,0,0,0,0,0,0,0.628074293021328,0,0,4.08972349484654,0,0,0,0,2.72688419920932,0,0,7.5682300776916,14.1873905733948,0.628074293021328,5.00886787572299,0,5.33863149068129
"15","Fagatele",6.60673256514722,1.58891624459791,2.54738137579893,2.32047740446129,0.579055886699293,6.92734910918119,0,4.63244709359434,0.314037146510664,2.86790028958573,5.97826437776168,0,4.32414440694006,6.12332173199568,0,0,0.942111439531992,0,0,0,2.46474150578419,0,0,0.314037146510664,0,0.579055886699293,0.314037146510664,0,2.15750604799617,1.19168718344844,0.314037146510664,0,0,0.314037146510664,0.794458122298957,0.314037146510664,0.314037146510664,4.34235141128545,0,0,0.97300851082104,0,0.314037146510664,0.314037146510664,2.16207220347003,0,4.54866302397968,0,0,0,0,0,0,1.78200516450195,0.314037146510664,0,0,0.842650088469486,2.03034183536709,0,0,1.25614858604266,2.10193861865838,0,0,0.579055886699293,6.92734910918119,0,4.63244709359434,0.314037146510664,2.86790028958573
"16","Laulii",6.83123121560854,9.19930535067247,1.28354784446608,1.0480375198427,2.81133237871116,6.96256544344401,0.628074293021328,13.2963728351755,0.405290457609831,1.58891624459791,0.643584635795443,0,0,0.628074293021328,0.397229061149479,0,0.32659863237109,0,0,0,0.93158472433769,0,0.32659863237109,0,0,0.580552685049637,0.32659863237109,0.628074293021328,0,0.314037146510664,0,0.397229061149479,0,7.17343334510104,0.32659863237109,0.314037146510664,0.314037146510664,4.34462192198244,0,0,0.638538765795831,0.628074293021328,0.580552685049637,0,0,0,5.46532912871742,0,0,0,0,0,0,9.18729076698244,0,0.397229061149479,0,0.314037146510664,1.05815141551007,0,0,0,0.628074293021328,0,0,2.81133237871116,6.96256544344401,0.628074293021328,13.2963728351755,0.405290457609831,1.58891624459791
"17","Leone2",4.60040303525517,0.899265534192317,4.72727617549977,4.90541704351513,0.314037146510664,4.16854001279396,0,1.82033224095373,0,5.79226172215898,1.57018573255332,3.48849899620859,1.53846153846154,1.45951276623156,0,0,0.628074293021328,0,0,0,0,0,0.314037146510664,0.314037146510664,0,0,0.314037146510664,0.314037146510664,0,4.76053798362025,0.314037146510664,0,0,0,0.942111439531992,0.314037146510664,0.314037146510664,3.13093617648506,0,0,1.05096930932919,0,0.397229061149479,0,0,1.57018573255332,2.69779660257695,0.314037146510664,0,0,0,0,0,0.628074293021328,1.15811177339859,0.314037146510664,0,0,4.1185585651818,0,0,2.17571317288168,0.942111439531992,0,0,0.314037146510664,4.16854001279396,0,1.82033224095373,0,5.79226172215898
"18","Maloata",7.81062847405785,0,0.314037146510664,0,2.4325212770526,3.75796327396128,0,6.90453357051944,0,1.06031144246848,1.66765256835991,0.643584635795443,0,1.26397513270423,0.314037146510664,0,0.643584635795443,0.628074293021328,0,0,0,0.942111439531992,0.899265534192317,0.942111439531992,0,0,0,0.314037146510664,0.314037146510664,0,0.93158472433769,0,0,0,0,0.314037146510664,0.794458122298957,9.96344403118342,0,0,1.73148133498812,0,2.17571317288168,0,0.314037146510664,0,7.97431775073853,0,0,0,0.93158472433769,0,0,0,0,0,0,0,0,0,0,0,0.314037146510664,0,0,2.4325212770526,3.75796327396128,0,6.90453357051944,0,1.06031144246848
"19","Masausi",5.61942250326641,0.628074293021328,1.64382773587945,0,1.05096930932919,2.94592956232719,0,6.01116646649953,0,4.33553274482613,1.98614530574739,0.314037146510664,0.314037146510664,0.794458122298957,1.88422287906398,0,0.579055886699293,0,0.314037146510664,0,0.314037146510664,0.628074293021328,0.628074293021328,0,0,0.397229061149479,0.942111439531992,0.643584635795443,0,0,1.43222974807887,0,0,0,0,0.314037146510664,1.32492417259116,5.76495568100439,0.314037146510664,0,4.52257105142499,0,0.93158472433769,0.314037146510664,0,0.314037146510664,2.42032811116189,0.643584635795443,0,0.314037146510664,0,0,0,0.628074293021328,0,0,0,0,0,0,0,0,1.64382773587945,0,0,1.05096930932919,2.94592956232719,0,6.01116646649953,0,4.33553274482613
"20","Masefau",3.14428820617185,0.314037146510664,4.9893614632186,0.628074293021328,4.35867268941042,2.40397435555574,8.75938268429128,3.93036025771481,7.21772965008909,10.2849653777012,0.935303640219733,0,0,1.72970337551222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0650628969028,0,0,0,0,0.397229061149479,0,0,0.405290457609831,0.314037146510664,0,0,0,0,0,0,0,0.314037146510664,0,0,0.628074293021328,0,0,0,0,5.12570195317876,0,0,4.35867268941042,2.40397435555574,8.75938268429128,3.93036025771481,7.21772965008909,10.2849653777012
"21","Matuu",4.8650425541052,2.51621957443017,1.66172838420714,1.80400606147055,2.37092846268038,8.33708002558793,0.93158472433769,7.62534960559154,4.77708204037913,4.58322126454346,0.688020916153781,0.314037146510664,0,2.76994292837054,0.794458122298957,0,0,0,0,0,0.397229061149479,0,0.628074293021328,0.314037146510664,0.314037146510664,1.57018573255332,0,0.942111439531992,0.314037146510664,0,0.314037146510664,0.942111439531992,0,4.88325238403196,0.97300851082104,0.314037146510664,0.628074293021328,2.17571317288168,0,0,1.25614858604266,0.628074293021328,0.756301600192442,0,0,0,2.56282019214734,0,0,0,1.8472219132644,0,0,2.55896922048711,0.314037146510664,0,0,0,2.40397435555574,0,0,1.51260320038488,0.899265534192317,0,0,2.37092846268038,8.33708002558793,0.93158472433769,7.62534960559154,4.77708204037913,4.58322126454346
"22","Nua",5.32198002630548,0.579055886699293,6.4542082964317,7.04591870618738,0.942111439531992,9.0331408234398,0.628074293021328,4.1566941803404,0.628074293021328,6.7703961700777,0.643584635795443,0.314037146510664,0,0,1.25614858604266,0,0,0,0,0,1.23237075289209,0,0.314037146510664,0.628074293021328,0,0.314037146510664,0,0.397229061149479,0,3.20564098462195,1.25614858604266,0,0,0,0,0,0,5.89185912465439,0,0,0.643584635795443,0,0.314037146510664,0,1.25614858604266,0.942111439531992,4.34462192198244,1.88422287906398,0,0,0,0,0,0,0.48650425541052,0.314037146510664,0,0,3.09290720046534,0,0,5.09476275159786,2.32047740446129,0,0,0.942111439531992,9.0331408234398,0.628074293021328,4.1566941803404,0.628074293021328,6.7703961700777
"23","Nuuuli",4.22493770597028,8.56118482463601,4.1113687571415,4.1113687571415,0,6.86298708406014,0,4.68326156177677,0,0.628074293021328,0.397229061149479,0,0,0,0,0,0.314037146510664,0,0,0.942111439531992,0.628074293021328,0,0.628074293021328,0.942111439531992,0,0.314037146510664,0,0,0,0,0,0.314037146510664,0,0,0,0,0.314037146510664,0.314037146510664,0,0,0.314037146510664,0,0.421325044234743,0,0,0,3.53344125472488,0.314037146510664,0,0,0,0,0,8.57614691210384,0,0.314037146510664,0,0.314037146510664,4.39652005114929,0,0,0,0,0,0,0,6.86298708406014,0,4.68326156177677,0,0.628074293021328
"24","Oa",4.71725189948922,2.43060694037916,0.486666396476648,0.316788619722677,1.57018573255332,3.04757801465755,0.942111439531992,3.28390973024089,0.628074293021328,2.1095817845535,1.20197076828459,0,0,1.53851281965815,0.32659863237109,0,0.628074293021328,0,0,0,0.314037146510664,0,0.813010573912717,0.630706688581702,0,0,0.405290457609831,2.51229717208531,0,0,2.13430697702775,0,0.314037146510664,0,0,0.942111439531992,0.314037146510664,6.35294586034986,0,1.53851281965815,4.2583437066846,1.02243087371163,0.771177025036906,0,0,0.314037146510664,2.16207220347003,1.02243087371163,0,0,0,0,0,2.50049304802767,0.32659863237109,0,0,0.316788619722677,0,0,0,0,0.314037146510664,0,0,1.57018573255332,3.04757801465755,0.942111439531992,3.28390973024089,0.628074293021328,2.1095817845535
"25","Poloa",7.48568653889407,0,0.314037146510664,0.314037146510664,0,5.61942250326641,0,3.11514718943332,0,1.66765256835991,1.64382773587945,5.11215436855818,0,2.35423157561806,0,0,1.02243087371163,0,0,0,0,0,1.02243087371163,0.314037146510664,0,0,0.942111439531992,0,0,0.628074293021328,1.8472219132644,0,0,0,0,0,0.579055886699293,5.30713486481857,0,0,2.63865963224368,0,1.05096930932919,0,0,0.314037146510664,0,0.397229061149479,0,0,0,0,0,0,0,0,0,0,0,0.314037146510664,0,0,0,0,0,0,5.61942250326641,0,3.11514718943332,0,1.66765256835991
"26","Sita",5.86702078902538,0.628074293021328,2.65998175906901,1.12325253281062,3.48849899620859,5.66417162846311,0,2.42631854797602,0,4.13433213102494,1.43222974807887,0.314037146510664,0,1.0024821266243,0.653197264742181,0,0.93158472433769,0,0.942111439531992,0.942111439531992,0,0,1.92416379542831,1.34478318497655,0,0.314037146510664,0.397229061149479,0.628074293021328,0,0,3.07694871784188,0.942111439531992,0,0,0,0,0.405290457609831,7.0337142460207,0,0,3.93830127879072,0.314037146510664,0.580552685049637,0,0,0.314037146510664,1.43222974807887,0.397229061149479,0,0,0,0,0,0,0.628074293021328,0,0.771177025036906,0.598354086985481,0.628074293021328,0,0,0,2.98448321145349,0,0,3.48849899620859,5.66417162846311,0,2.42631854797602,0,4.13433213102494
"27","Tafeu",10.3888880099287,11.9408469728902,1.05096930932919,1.05096930932919,1.23237075289209,4.71055719765996,0.397229061149479,4.94745566470692,0,2.78060342804635,1.57018573255332,0,0,0,0.397229061149479,0,2.76994292837054,0,0,0,0,0,1.23237075289209,0,0,0,0.643584635795443,0,0,0,1.3470692858014,0,0,1.53846153846154,0.314037146510664,0,0,8.3133883606808,0,0,1.86845504638325,0,0.628074293021328,0.314037146510664,0,2.15750604799617,14.2040636461231,0,0,0,0,12.188525661085,0,0,0.643584635795443,0,0,0.397229061149479,0,0.314037146510664,1.25614858604266,0,0,0.314037146510664,0,1.23237075289209,4.71055719765996,0.397229061149479,4.94745566470692,0,2.78060342804635
"28","Vatia",5.36626911191188,0,5.04222799131206,4.74185692536075,4.23426429062243,3.91477250769215,9.04514210284999,3.48849899620859,7.65761407061219,9.4053994312596,0,0,0,0.314037146510664,0,0,0,0,0,0,0,0,0,0,0.314037146510664,0,0,0,0,0,0,0,0,0,0,0,0,1.1322770341446,0,0,0.397229061149479,0,0.314037146510664,0,1.41142143020748,5.58950834602614,3.31454269755054,0,0,0,0,0,0,0,0,0,0.643584635795443,5.14292758475285,0,0,0.628074293021328,0.397229061149479,4.49632767096158,0,0,4.23426429062243,3.91477250769215,9.04514210284999,3.48849899620859,7.65761407061219,9.4053994312596
