"","sitename","sector","geography","reeftype","watershed","latitude","longitude","disturbed_by_totalarea","wave_mean","complexity","steepness","pop_watershed","mean_din","sd_din","se_din","max_din","wavemean_cat","wqmean_cat","wqmax_cat","prop_disturbed_cat","complexity_cat","steepness_cat"
"20","Masefau","NE","North","North","Intermediate",-170.62711,-14.255733,0.460898375,108.325,1.9,2,117.4015403,0.08125,0.0435141042965068,0.0125614399145668,0.157,"Low","High","Med","Low","Med","Med"
"24","Oa","NE","North","North","Pristine",-170.641371,-14.251255,0,276.05,2.8,2,0,NA,NA,NA,NA,"Med",NA,NA,"Med","High","Med"
"12","Fagaitua","SE","South","South","Extensive",-170.612441,-14.272138,0.328409374,56.58,2.9,2,291.8954499,0.131384615384615,0.132235873173077,0.025933588373327,0.591,"Low","Low","Low","High","High","Med"
"15","Fagatele","SW","South","South","Pristine",-170.762139,-14.364022,0.757035314,38.6,3,2,0,0.0262727272727273,0.0187141171797705,0.00564251863345843,0.068,"Low","Med","Med","Low","High","Med"
"6","Amaluia","SW","South","South","Extensive",-170.793001,-14.336857,0.397173218,45.3,3.4,2,150.7555904,0.0821666666666667,0.0647496343736021,0.0186916094177645,0.261,"Low","High","High","High","Low","Med"
"17","Leone2","SW","South","South","Extensive",-170.788726,-14.342562,0.549975428,63.14,3.5,2,107.7408493,0.18325,0.113933892315596,0.0328898816991156,0.413,"Low","Low","High","Low","Low","Med"
"11","Fagaalu","SE","South","South","Extensive",-170.676486,-14.289099,0.303526984,1663.775,1.5,3,367.2570976,0.10475,0.0762306607367642,0.0220058962484369,0.255,"High","High","High","High","Med","High"
"26","Sita","NW","North","North","Pristine",-170.740005,-14.289452,0.014752566,382.93,2,3,0,NA,NA,NA,NA,"Med",NA,NA,"Med","Med","High"
"2","Afono","NE","North","Sheltered","Intermediate",-170.652747,-14.256019,0.323313375,199.49,2,3,185.0278954,0.0853636363636364,0.0598987023687037,0.0180601382896511,0.216,"Med","High","High","High","Med","High"
"8","Amaua","SE","South","South","Extensive",-170.621867,-14.273633,0.41387015,703.46,2,3,175.670866,0.048,0.0332750772986445,0.00889313848356766,0.127,"High","Med","Med","High","Med","High"
