"","sitename","dispersion","site_transect","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"1","Aasu","High","Aasu_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38461538461539,0,0,1.53846153846154,0,1.53846153846154,0,0,0,14.6153846153846,0,0,0,0
"2","Aasu","High","Aasu_2",1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3076923076923,0,0,1.53846153846154,0,4.61538461538461,0,0,0,26.1538461538462,0,0,0,0
"3","Aasu","High","Aasu_5",3.07692307692308,3.07692307692308,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,22.3076923076923,0,0,1.53846153846154,0,0.769230769230769,0,0,0,0,0,0,0,0
"4","Aasu","High","Aasu_6",6.15384615384615,0.769230769230769,0,2.30769230769231,2.30769230769231,0,2.30769230769231,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,19.2307692307692,0,0,2.30769230769231,0,0.769230769230769,0,0,1.53846153846154,0,0,0,0,0
"5","Aasu","High","Aasu_3",2.30769230769231,0,0,0,0.769230769230769,0,2.30769230769231,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,22.3076923076923,0,0,1.53846153846154,0,0.769230769230769,0,0,2.30769230769231,1.53846153846154,0,0,0,0
"6","Aasu","High","Aasu_4",0.769230769230769,0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,22.3076923076923,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0
"7","Afono","Med","Afono_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2.30769230769231,0,0,0,0,0,3.07692307692308,0,0,0,0
"8","Afono","Med","Afono_6",0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,1.53846153846154,0,0,0,0,0,4.61538461538461,0,0,0,0
"9","Afono","Med","Afono_2",1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,3.07692307692308,0,0,2.30769230769231,0,0.769230769230769,0,0,0,7.69230769230769,0,0,0,0
"10","Afono","Med","Afono_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0.8,0,0,0,0,0.8,2.4,0,0,0,0
