"","sitename","distances","rank","quartile","dispersion"
"24","Oa",6.33602784788506,1,1,"Low"
"12","Fagaitua",7.06903688744161,2,1,"Low"
"19","Masausi",8.19680947997592,3,1,"Low"
"17","Leone2",8.41455768377193,4,1,"Low"
"5","Amalau",8.49174009301806,5,1,"Low"
"25","Poloa",8.73235265676751,6,1,"Low"
"18","Maloata",9.31516442722037,7,1,"Low"
"26","Sita",9.45196027916836,8,2,"Med"
"23","Nuuuli",9.93782345223413,9,2,"Med"
"15","Fagatele",10.3478133897146,10,2,"Med"
"3","Alega",10.445529736926,11,2,"Med"
"11","Fagaalu",10.4799150323268,12,2,"Med"
"2","Afono",10.772534322092,13,2,"Med"
"7","Amanave",11.2017565743372,14,2,"Med"
"13","Fagamalo",11.720132911366,15,3,"Med"
"9","Amouli",11.7971956939377,16,3,"Med"
"6","Amaluia",12.278025893036,17,3,"Med"
"21","Matuu",12.4091859289867,18,3,"Med"
"22","Nua",13.3702393360944,19,3,"Med"
"27","Tafeu",14.1283299166452,20,3,"Med"
"10","Aoa",14.3140650661982,21,3,"Med"
"20","Masefau",14.9893088340912,22,4,"High"
"8","Amaua",15.0352358733656,23,4,"High"
"4","Alofau",15.3898305692902,24,4,"High"
"16","Laulii",15.5542536939059,25,4,"High"
"28","Vatia",16.497193083521,26,4,"High"
"14","Fagasa2",16.7674750968887,27,4,"High"
"1","Aasu",17.3127822726563,28,4,"High"
