,sitename,X.x,distances,rank,quartile,dispersion,X.y,site_transect,transect_no,CORAL,OI,MA,MA_noHALI,BCA,CCA,SAND,FCA,RUB,TURF,HALI,BSR
1,Aasu,1,17.55104884,28,4,High,1,Aasu_1,1,23.07692308,0.769230769,7.692307692,2.307692308,3.076923077,16.92307692,0.769230769,8.461538462,1.538461538,37.69230769,5.384615385,1
2,Aasu,1,17.55104884,28,4,High,2,Aasu_2,2,46.15384615,2.307692308,1.538461538,1.538461538,2.307692308,10.76923077,0,7.692307692,0,29.23076923,0,1.54
3,Aasu,1,17.55104884,28,4,High,5,Aasu_5,5,34.61538462,0,0,2.307692308,0,35.38461538,0,19.23076923,0,10.76923077,0,2.166666667
4,Aasu,1,17.55104884,28,4,High,6,Aasu_6,6,39.23076923,1.538461538,0,0,0,31.53846154,0,24.61538462,0,3.076923077,0,2.555555556
5,Aasu,1,17.55104884,28,4,High,3,Aasu_3,3,35.38461538,0,2.307692308,0,0,18.46153846,0,16.92307692,0,26.92307692,0,1.228070175
6,Aasu,1,17.55104884,28,4,High,4,Aasu_4,4,28.46153846,1.538461538,0,0,0,33.07692308,0.769230769,21.53846154,0,14.61538462,0,1.70212766
7,Afono,2,12.28570702,16,3,Med,7,Afono_1,1,18.46153846,0.769230769,36.15384615,0.769230769,13.07692308,0,0,25.38461538,0,6.153846154,35.38461538,2.071428571
8,Afono,2,12.28570702,16,3,Med,8,Afono_2,2,17.69230769,0,24.61538462,0.769230769,10,8.461538462,6.923076923,20.76923077,0,11.53846154,23.84615385,1.813953488
9,Afono,2,12.28570702,16,3,Med,11,Afono_5,5,16.15384615,0,30.76923077,0,18.46153846,12.30769231,0,20,0,2.307692308,30.76923077,3.482758621
10,Afono,2,12.28570702,16,3,Med,12,Afono_6,6,11.53846154,0,29.23076923,2.307692308,21.53846154,11.53846154,0,22.30769231,0,3.846153846,26.92307692,2.513513514
11,Afono,2,12.28570702,16,3,Med,9,Afono_3,3,26.15384615,1.538461538,16.15384615,0.769230769,10,5.384615385,3.846153846,28.46153846,0,8.461538462,15.38461538,1.510204082
12,Afono,2,12.28570702,16,3,Med,10,Afono_4,4,15.2,0,32.8,0,12.8,4.8,0,24.8,0,9.6,32.8,1.906976744
13,Alega,3,11.24620278,12,2,Med,18,Alega_6,6,3.846153846,10.76923077,4.615384615,1.538461538,1.538461538,46.15384615,0,33.07692308,0,0,3.076923077,1.577777778
14,Alega,3,11.24620278,12,2,Med,14,Alega_2,2,7.692307692,13.07692308,12.30769231,12.30769231,0,33.07692308,0,32.30769231,0,1.538461538,0,0.883333333
15,Alega,3,11.24620278,12,2,Med,13,Alega_1,1,13.84615385,15.38461538,4.615384615,4.615384615,0,31.53846154,0,33.84615385,0,0.769230769,0,1.156862745
16,Alega,3,11.24620278,12,2,Med,15,Alega_3,3,8.461538462,13.84615385,11.53846154,6.923076923,0,38.46153846,0,26.15384615,0,1.538461538,4.615384615,1.488888889
17,Alega,3,11.24620278,12,2,Med,16,Alega_4,4,23.07692308,9.230769231,3.846153846,3.846153846,0.769230769,31.53846154,3.846153846,22.30769231,0,4.615384615,0,1.8
18,Alega,3,11.24620278,12,2,Med,17,Alega_5,5,10.76923077,10,10.76923077,4.615384615,0.769230769,26.92307692,3.846153846,33.84615385,0,2.307692308,6.153846154,1.094339623
19,Alofau,4,15.94770995,24,4,High,19,Alofau_1,1,8.461538462,0,3.076923077,2.307692308,2.307692308,27.69230769,0,46.15384615,0,12.30769231,0.769230769,0.64556962
20,Alofau,4,15.94770995,24,4,High,20,Alofau_2,2,9.230769231,0,0,0,1.538461538,33.84615385,0,46.15384615,0,9.230769231,0,0.805555556
21,Alofau,4,15.94770995,24,4,High,21,Alofau_3,3,16.92307692,0,6.923076923,5.384615385,3.846153846,6.153846154,0,45.38461538,0,20.76923077,1.538461538,0.397849462
22,Alofau,4,15.94770995,24,4,High,22,Alofau_4,4,5.384615385,0,12.30769231,11.53846154,0.769230769,9.230769231,1.538461538,54.61538462,0,16.15384615,0.769230769,0.196261682
23,Alofau,4,15.94770995,24,4,High,23,Alofau_5,5,16,0.8,8,6.4,1.6,1.6,0.8,62.4,0,8.8,1.6,0.268041237
24,Alofau,4,15.94770995,24,4,High,24,Alofau_6,6,20,0,9.230769231,3.076923077,6.153846154,6.923076923,0,45.38461538,0,12.30769231,6.153846154,0.64556962
25,Amalau,5,8.857577061,4,1,Low,27,Amalau_3,3,65.38461538,0,2.307692308,0,0,13.84615385,0,17.69230769,0,0.769230769,2.307692308,4.416666667
26,Amalau,5,8.857577061,4,1,Low,25,Amalau_1,1,52.30769231,3.076923077,2.307692308,0,0,18.46153846,0,20,0,3.846153846,2.307692308,3.064516129
27,Amalau,5,8.857577061,4,1,Low,29,Amalau_5,5,54.4,0,1.6,0.8,0,26.4,0,16,0,1.6,0.8,4.434782609
28,Amalau,5,8.857577061,4,1,Low,28,Amalau_4,4,46.92307692,1.538461538,0,0,0.769230769,17.69230769,0,30,0,3.076923077,0,1.976744186
29,Amalau,5,8.857577061,4,1,Low,26,Amalau_2,2,60.76923077,0,4.615384615,0,0.769230769,16.15384615,0,17.69230769,0,0,4.615384615,4.652173913
