"","sitename","mean_din","sd_din","se_din","max_din"
"1","Afono",0.0853636363636364,0.0598987023687037,0.0180601382896511,0.216
"2","Alega",0.128083333333333,0.0820016167615929,0.0236718277556451,0.289
"3","Alofau",0.193708333333333,0.15438221320354,0.0315131373091864,0.788
"4","Amalau",0.039,0.0327353020453455,0.00987006493485133,0.098
"5","Amaluia",0.0821666666666667,0.0647496343736021,0.0186916094177645,0.261
"6","Amanave",0.10188,0.0968819384612013,0.0193763876922403,0.431
"7","Amaua",0.048,0.0332750772986445,0.00889313848356766,0.127
"8","Amouli",0.0861304347826087,0.142057064189592,0.0296209455021611,0.71
"9","Aoa",0.162958333333333,0.130487540356947,0.0266356576387789,0.444
"10","Asili",0.02675,0.0266496631396073,0.00769309509373257,0.065
"11","Fagaalu",0.10475,0.0762306607367642,0.0220058962484369,0.255
"12","Fagaitua",0.131384615384615,0.132235873173077,0.025933588373327,0.591
"13","Fagamalo",0.0341666666666667,0.0261597655443112,0.00755167383947279,0.095
"14","Fagasa2",0.100636363636364,0.0835928599448914,0.0178220576224651,0.405
"15","Fagatele",0.0262727272727273,0.0187141171797705,0.00564251863345843,0.068
"16","Laulii",0.0704166666666667,0.0411260995063483,0.0118720823103548,0.164
"17","Leone2",0.18325,0.113933892315596,0.0328898816991156,0.413
"18","Maloata",0.0595,0.0625336273172646,0.0180519032825132,0.242
"19","Masausi",0.0510416666666667,0.033548769389297,0.00684811387517344,0.154
"20","Masefau",0.08125,0.0435141042965068,0.0125614399145668,0.157
"21","Matuu",0.0584166666666667,0.042921616366525,0.0123904033816335,0.175
"22","Nua",0.0550833333333333,0.0966666797283168,0.0279052667814055,0.355
"23","Nuuuli",0.08875,0.0369449836673643,0.0106650981327796,0.179
"24","Poloa",0.128166666666667,0.0940336819088423,0.0271451857814809,0.368
"25","Vatia",0.0897222222222222,0.113023540180445,0.0188372566967408,0.561
